DEPARTEMENTS,Impots Moyens par Foyer
 PARIS,7696514.012303486
HAUTS-DE-SEINE,6153191.489361702
 YVELINES,4392373.923739238
RESIDENTS ETRANGERS,2952205.882352941
VAL-DE-MARNE,2854878.048780488
 RHONE,2577490.774907749
 ALPES-MARITIMES,2441734.4173441734
ESSONNE,2372469.6356275305
 HAUT-RHIN,2305747.1264367816
 HAUTE-SAVOIE,2159595.9595959596
 BOUCHES-DU-RHONE,2115262.321144674
 HAUTE-GARONNE,2104191.616766467
 CORSE-DU-SUD,2091836.7346938776
 GIRONDE,2005010.0200400802
VAL-D'OISE,1992977.5280898877
 SEINE-ET-MARNE,1974074.0740740742
 BAS-RHIN,1960546.282245827
VAR,1912981.455064194
 DOUBS,1888888.888888889
 ISERE,1851296.0436562074
 AIN,1850948.5094850948
 COTE-D'OR,1831715.210355987
 MARNE,1827160.4938271604
 SAVOIE,1805243.4456928838
 LOIRE-ATLANTIQUE,1774731.8235995232
 OISE,1760775.8620689656
 ILLE-ET-VILAINE,1730081.300813008
 HERAULT,1721621.6216216215
 PYRENEES-ATLANTIQUES,1710280.3738317757
TERRITOIRE-DE-BELFORT,1632911.3924050634
 CALVADOS,1612048.1927710844
 INDRE-ET-LOIRE,1567867.0360110803
 HAUTE-CORSE,1555555.5555555555
 LOIRET,1551898.7341772153
 EURE-ET-LOIR,1542510.12145749
 CHARENTE-MARITIME,1540284.3601895734
 NORD,1531654.186521443
 PUY-DE-DOME,1517857.142857143
 MEURTHE-ET-MOSELLE,1512077.2946859903
 SEINE-MARITIME,1487637.3626373627
 JURA,1441558.4415584416
 MORBIHAN,1424307.0362473347
 DROME,1422580.6451612904
VAUCLUSE,1418803.4188034188
 GARD,1402597.4025974027
 AUBE,1387640.4494382022
 EURE,1378612.7167630058
 FINISTERE,1376130.1989150092
 LANDES,1316981.1320754718
 SOMME,1306990.8814589665
 MAINE-ET-LOIRE,1298474.945533769
 LOIRE,1298405.4669703871
 MOSELLE,1294314.381270903
SEINE-SAINT-DENIS,1282700.4219409283
 PYRENEES-ORIENTALES,1276527.3311897106
 ALPES-DE-HTE-PROVENCE,1276190.4761904762
VENDEE,1270531.4009661835
 SAONE-ET-LOIRE,1262996.9418960244
 CHER,1260869.5652173914
HAUTE-VIENNE,1254464.2857142857
YONNE,1247524.7524752475
 COTES D'ARMOR,1224932.2493224933
 LOIR-ET-CHER,1212121.2121212122
 CHARENTE,1211981.5668202764
 MANCHE,1210702.3411371238
VIENNE,1197628.4584980237
 HAUTES-ALPES,1177777.7777777778
 GERS,1168067.2268907563
 SARTHE,1165644.171779141
 DEUX-SEVRES,1155251.1415525114
VOSGES,1154545.4545454546
 TARN-ET-GARONNE,1146496.8152866242
 CORREZE,1142857.142857143
 TARN,1135593.220338983
 ARDECHE,1134328.3582089553
 LOT-ET-GARONNE,1117647.0588235294
 LOT,1108108.1081081082
 MEUSE,1093457.9439252336
 PAS-DE-CALAIS,1089285.7142857143
 MAYENNE,1086705.2023121386
 AISNE,1084690.5537459285
 ALLIER,1057692.3076923077
 DORDOGNE,1034220.5323193916
 HAUTE-SAONE,1028985.5072463768
 ARDENNES,1025477.7070063695
 NIEVRE,1023437.5
 HAUTE-MARNE,1019417.4757281553
 AVEYRON,1017751.4792899408
 AUDE,1008547.0085470085
 ORNE,1006024.0963855422
DPARTEMENTS,1000000.0
MARTINIQUE,995983.9357429718
 HAUTE-LOIRE,992700.7299270073
 CANTAL,988888.8888888889
 HAUTES-PYRENEES,952054.794520548
 INDRE,948148.1481481482
REUNION,935424.3542435424
 LOZERE,913043.4782608695
GUYANE,870689.6551724138
 ARIEGE,857142.8571428572
 CREUSE,746666.6666666666
GUADELOUPE,725563.909774436
MAYOTTE,546666.6666666666
